UDate,Variety,Block,Yield
U1,V1,1,11.8
U1,V2,1,8.3
U1,V3,1,9.2
U1,V4,1,15.6
U1,V5,1,16.2
U1,V6,1,9.9
U2,V1,1,9.7
U2,V2,1,5.4
U2,V3,1,12.1
U2,V4,1,13.2
U2,V5,1,16.5
U2,V6,1,12.5
U3,V1,1,7
U3,V2,1,5.7
U3,V3,1,3.3
U3,V4,1,12.6
U3,V5,1,12.6
U3,V6,1,10.2
U1,V1,2,7.5
U1,V2,2,8.4
U1,V3,2,10.6
U1,V4,2,10.8
U1,V5,2,11.2
U1,V6,2,10.8
U2,V1,2,8.8
U2,V2,2,12.9
U2,V3,2,15.7
U2,V4,2,11.3
U2,V5,2,11.1
U2,V6,2,14.3
U3,V1,2,9.1
U3,V2,2,8.4
U3,V3,2,6.9
U3,V4,2,15.4
U3,V5,2,12.3
U3,V6,2,11.6
U1,V1,3,9.7
U1,V2,3,11.8
U1,V3,3,11.4
U1,V4,3,10.3
U1,V5,3,14
U1,V6,3,4.8
U2,V1,3,12.5
U2,V2,3,11.2
U2,V3,3,7.6
U2,V4,3,11
U2,V5,3,10.8
U2,V6,3,15.9
U3,V1,3,7.1
U3,V2,3,6.1
U3,V3,3,1
U3,V4,3,14.2
U3,V5,3,14.4
U3,V6,3,10.4
U1,V1,4,6.4
U1,V2,4,8.5
U1,V3,4,7.2
U1,V4,4,14.7
U1,V5,4,11.5
U1,V6,4,9.8
U2,V1,4,9.4
U2,V2,4,7.8
U2,V3,4,9.4
U2,V4,4,10.7
U2,V5,4,8.5
U2,V6,4,7.5
U3,V1,4,6.3
U3,V2,4,8.8
U3,V3,4,2.6
U3,V4,4,11.3
U3,V5,4,14.1
U3,V6,4,12.2
